A,RELATION,B,WEIGHT
Fungus,isA,Living Organism,0.75
Algae,isA,Protist,0.7
Protist,isA,Living Organism,0.7
Plant,isA,Living Organism,0.85
Animal,isA,Living Organism,0.85
Fire,hasQuality,Hot,0.97
Ice,hasQuality,Cold,0.97
Sun,hasQuality,Hot,0.95
Snow,hasQuality,Cold,0.95
Diamond,hasQuality,Hard,0.97
Feather,hasQuality,Light,0.9
Lead,hasQuality,Dense,0.9
Steel,hasQuality,Strong,0.85
Glass,hasQuality,Fragile,0.85
Rubber,hasQuality,Elastic,0.9
Honey,hasQuality,Sticky,0.9
Sandpaper,hasQuality,Rough,0.9
Silk,hasQuality,Smooth,0.85
Lemon,hasQuality,Sour,0.9
Sugar,hasQuality,Sweet,0.95
Chili Pepper,hasQuality,Spicy,0.9
Coffee,hasQuality,Bitter,0.85
Salt,hasQuality,Salty,0.97
Vinegar,hasQuality,Acidic,0.9
Cheetah,hasQuality,Fast,0.9
Sloth,hasQuality,Slow,0.9
Tortoise,hasQuality,Slow,0.85
Elephant,hasQuality,Large,0.9
Ant,hasQuality,Small,0.9
Mouse,hasQuality,Small,0.85
Blue Whale,hasQuality,Massive,0.95
Giraffe,hasQuality,Tall,0.9
Snake,hasQuality,Legless,0.95
Owl,hasQuality,Nocturnal,0.85
Bat,hasQuality,Nocturnal,0.85
Chameleon,hasQuality,Camouflaged,0.85
Peacock,hasQuality,Colorful,0.85
Zebra,hasQuality,Striped,0.95
Leopard,hasQuality,Spotted,0.9
Cactus,hasQuality,Spiny,0.85
Rose,hasQuality,Thorny,0.8
Oak Tree,hasQuality,Sturdy,0.75
Bamboo,hasQuality,Flexible,0.8
Redwood,hasQuality,Tall,0.9
Mushroom,hasQuality,Fungal,0.9
Gold,hasQuality,Shiny,0.9
Gold,hasQuality,Malleable,0.85
Silver,hasQuality,Shiny,0.85
Copper,hasQuality,Conductive,0.9
Rubber,hasQuality,Insulating,0.85
Wood,hasQuality,Combustible,0.8
Water,hasQuality,Transparent,0.85
Air,hasQuality,Invisible,0.85
Oil,hasQuality,Slippery,0.85
Granite,hasQuality,Hard,0.85
Clay,hasQuality,Moldable,0.85
Cotton,hasQuality,Soft,0.85
Wool,hasQuality,Warm,0.8
Marble,hasQuality,Smooth,0.75
Concrete,hasQuality,Durable,0.8
Volcano,hasQuality,Hot,0.85
Desert,hasQuality,Dry,0.9
Rainforest,hasQuality,Humid,0.9
Ocean,hasQuality,Salty,0.9
River,hasQuality,Freshwater,0.85
Glacier,hasQuality,Cold,0.9
Mount Everest,hasQuality,Tall,0.95
Sahara Desert,hasQuality,Hot,0.85
Human Heart,hasQuality,Muscular,0.9
Human Skin,hasQuality,Elastic,0.75
Human Bone,hasQuality,Rigid,0.85
Human Brain,hasQuality,Complex,0.9
Spider Silk,hasQuality,Strong,0.9
Kevlar,hasQuality,Strong,0.9
Helium,hasQuality,Light,0.9
Hydrogen,hasQuality,Flammable,0.9
Oxygen,hasQuality,Colorless,0.9
Nitrogen,hasQuality,Inert,0.75
Mercury (element),hasQuality,Liquid at Room Temperature,0.95
Neon,hasQuality,Colorless,0.85
Chlorine,hasQuality,Toxic,0.8
Ozone,hasQuality,Reactive,0.75
Diamond,hasQuality,Transparent,0.8
Ruby,hasQuality,Red,0.85
Emerald,hasQuality,Green,0.85
Sapphire,hasQuality,Blue,0.8
Amethyst,hasQuality,Purple,0.85
Obsidian,hasQuality,Sharp,0.8
Titanium,hasQuality,Lightweight,0.85
Titanium,hasQuality,Corrosion-Resistant,0.85
Aluminum,hasQuality,Lightweight,0.85
Iron,hasQuality,Magnetic,0.8
Wolf,hasQuality,Social,0.75
Lion,hasQuality,Social,0.75
Tiger,hasQuality,Solitary,0.75
Bee,hasQuality,Social,0.85
Ant,hasQuality,Social,0.85
Shark,hasQuality,Predatory,0.85
Panda,hasQuality,Docile,0.7
Hyena,hasQuality,Scavenging,0.75
Cactus,hasQuality,Drought-Resistant,0.9
Venus Flytrap,hasQuality,Carnivorous,0.95
Fern,hasQuality,Shade-Loving,0.7
Sunflower,hasQuality,Phototropic,0.8
Milk,hasQuality,White,0.9
Blood,hasQuality,Red,0.9
Grass,hasQuality,Green,0.85
Sky,hasQuality,Blue,0.8
Charcoal,hasQuality,Black,0.9
Cheese,hasQuality,Fermented,0.7
Yogurt,hasQuality,Fermented,0.75
Wine,hasQuality,Fermented,0.8
Bread,hasQuality,Baked,0.8
Pasta,hasQuality,Starchy,0.8
Rice,hasQuality,Starchy,0.8
Marathon Runner,hasQuality,Endurant,0.7
Sprinter,hasQuality,Fast,0.8
Computer Chip,hasQuality,Electronic,0.85
Battery,hasQuality,Rechargeable,0.6
Smartphone,hasQuality,Portable,0.8
Airplane,hasQuality,Fast,0.75
Turtle,hasQuality,Long-Lived,0.75
Mayfly,hasQuality,Short-Lived,0.85
Redwood Tree,hasQuality,Long-Lived,0.8
Bristlecone Pine,hasQuality,Long-Lived,0.85
Jellyfish,hasQuality,Translucent,0.8
Glass Frog,hasQuality,Translucent,0.75
Polar Bear,hasQuality,White,0.85
Flamingo,hasQuality,Pink,0.85
Canary,hasQuality,Yellow,0.75
Raven,hasQuality,Black,0.85
Zebra Finch,hasQuality,Striped,0.6
Volcanic Rock,hasQuality,Porous,0.75
Pumice,hasQuality,Porous,0.85
Sponge,hasQuality,Absorbent,0.9
Towel,hasQuality,Absorbent,0.8
Mirror,hasQuality,Reflective,0.9
Chrome,hasQuality,Reflective,0.85
Sandstone,hasQuality,Porous,0.75
Limestone,hasQuality,Soluble,0.7
Quartz,hasQuality,Hard,0.85
Talc,hasQuality,Soft,0.85
Penguin,hasQuality,Flightless,0.9
Ostrich,hasQuality,Flightless,0.9
Kiwi Bird,hasQuality,Flightless,0.9
Eagle,hasQuality,Sharp-Sighted,0.85
Dog,hasQuality,Loyal,0.7
Cat,hasQuality,Independent,0.65
Dolphin,hasQuality,Intelligent,0.8
Crow,hasQuality,Intelligent,0.75
Octopus,hasQuality,Intelligent,0.8
Camel,hasQuality,Drought-Resistant,0.85
Camel,hasQuality,Hardy,0.8
Arctic Fox,hasQuality,Cold-Adapted,0.85
Polar Bear,hasQuality,Cold-Adapted,0.9
Cactus Spine,hasQuality,Sharp,0.85
Thorn,hasQuality,Sharp,0.85
Blade,hasQuality,Sharp,0.85
Pillow,hasQuality,Soft,0.85
Rock,hasQuality,Hard,0.8
Water,hasQuality,Liquid,0.9
Steam,hasQuality,Gaseous,0.85
Ice Cube,hasQuality,Solid,0.9
Basalt,hasQuality,Dark,0.75
Chalk,hasQuality,Soft,0.85
Pumice,hasQuality,Lightweight,0.85
Wax,hasQuality,Meltable,0.85
Butter,hasQuality,Meltable,0.8
Chocolate,hasQuality,Meltable,0.75
Iron,hasQuality,Malleable,0.8
Sand,hasQuality,Granular,0.85
Flour,hasQuality,Powdery,0.85
Salt,hasQuality,Crystalline,0.8
Sugar,hasQuality,Crystalline,0.8
Quartz,hasQuality,Crystalline,0.85
Velvet,hasQuality,Soft,0.85
Sandpaper,hasQuality,Abrasive,0.9
Denim,hasQuality,Durable,0.75
Leather,hasQuality,Durable,0.8
Paper,hasQuality,Thin,0.75
Cardboard,hasQuality,Rigid,0.7
Balloon,hasQuality,Inflatable,0.85
Sponge,hasQuality,Porous,0.85
Volcanic Ash,hasQuality,Fine,0.7
Fog,hasQuality,Dense,0.65
Cloud,hasQuality,Fluffy,0.6
Thunderstorm,hasQuality,Loud,0.7
Whisper,hasQuality,Quiet,0.85
Siren,hasQuality,Loud,0.85
Violin,hasQuality,Melodic,0.6
Drum,hasQuality,Percussive,0.85
Trumpet,hasQuality,Brassy,0.7
Owl Call,hasQuality,Eerie,0.6
Lion Roar,hasQuality,Loud,0.85
Mouse Squeak,hasQuality,Quiet,0.75
Cheetah,hasQuality,Agile,0.85
Gazelle,hasQuality,Agile,0.8
Monkey,hasQuality,Agile,0.8
Penguin,hasQuality,Waddling,0.7
Snail,hasQuality,Slow,0.9
Falcon,hasQuality,Fast,0.9
Hare,hasQuality,Fast,0.85
Snail,hasQuality,Small,0.7
Blue Whale,hasQuality,Loud (Vocalization),0.7
Elephant,hasQuality,Strong,0.85
Ant,hasQuality,Strong (Relative to Size),0.85
Gorilla,hasQuality,Strong,0.9
Spider,hasQuality,Eight-Legged,0.95
Insect,hasQuality,Six-Legged,0.9
Starfish,hasQuality,Regenerative,0.8
Chameleon,hasQuality,Color-Changing,0.9
Octopus,hasQuality,Color-Changing,0.8
Cuttlefish,hasQuality,Color-Changing,0.8
Firefly,hasQuality,Bioluminescent,0.9
Anglerfish,hasQuality,Bioluminescent,0.85
Jellyfish,hasQuality,Bioluminescent,0.65
Skunk,hasQuality,Odorous,0.85
Rose,hasQuality,Fragrant,0.8
Garlic,hasQuality,Pungent,0.85
Onion,hasQuality,Pungent,0.8
Durian,hasQuality,Pungent,0.85
Lavender,hasQuality,Fragrant,0.8
Vanilla,hasQuality,Fragrant,0.75
Vinegar,hasQuality,Pungent,0.75
Spinach,hasQuality,Nutritious,0.7
Kale,hasQuality,Nutritious,0.7
Broccoli,hasQuality,Nutritious,0.7
Junk Food,hasQuality,Calorie-Dense,0.65
Water,hasQuality,Essential for Life,0.9
Oxygen,hasQuality,Essential for Life,0.9
Sunlight,hasQuality,Essential for Photosynthesis,0.85
Bamboo,hasQuality,Fast-Growing,0.85
Ivy,hasQuality,Fast-Growing,0.7
Bonsai Tree,hasQuality,Slow-Growing,0.75
Oak Tree,hasQuality,Slow-Growing,0.65
Redwood,hasQuality,Ancient,0.65
Bristlecone Pine,hasQuality,Ancient,0.75
Glass,hasQuality,Transparent,0.9
Fog,hasQuality,Translucent,0.65
Obsidian,hasQuality,Glassy,0.8
Marble,hasQuality,Polished,0.65
Rubber Band,hasQuality,Stretchy,0.9
Spring (Coil),hasQuality,Elastic,0.85
Trampoline,hasQuality,Bouncy,0.85
Pillow,hasQuality,Fluffy,0.75
Anvil,hasQuality,Heavy,0.85
Feather Pillow,hasQuality,Light,0.75
Battery,hasQuality,Energy-Storing,0.85
Solar Panel,hasQuality,Energy-Converting,0.8
Magnet,hasQuality,Magnetic,0.95
Compass Needle,hasQuality,Magnetic,0.85
Diamond,hasQuality,Rare,0.7
Gold,hasQuality,Rare,0.7
Sand,hasQuality,Abundant,0.75
Water (on Earth),hasQuality,Abundant,0.7
Helium,hasQuality,Rare on Earth,0.6
Hippopotamus,hasQuality,Large,0.85
Rhinoceros,hasQuality,Large,0.85
Rhinoceros,hasQuality,Horned,0.9
Panda,hasQuality,Black and White,0.9
Koala,hasQuality,Gray,0.7
Cow,hasQuality,Docile,0.65
Pig,hasQuality,Pink,0.6
Sheep,hasQuality,Woolly,0.85
Fox,hasQuality,Cunning,0.6
Toucan,hasQuality,Colorful,0.85
Woodpecker,hasQuality,Pecking,0.75
Cardinal,hasQuality,Red,0.85
Blue Jay,hasQuality,Blue,0.8
Cobra,hasQuality,Venomous,0.85
Viper,hasQuality,Venomous,0.85
Komodo Dragon,hasQuality,Large,0.85
Ladybug,hasQuality,Spotted,0.85
Praying Mantis,hasQuality,Camouflaged,0.75
Pufferfish,hasQuality,Spiky,0.8
Camel,hasQuality,Humped,0.9
Beaver,hasQuality,Industrious,0.6
Skunk,hasQuality,Black and White,0.75
Squirrel,hasQuality,Bushy-Tailed,0.75
Moose,hasQuality,Antlered,0.8
Traffic Cone,hasQuality,Bright,0.6
Snowflake,hasQuality,Symmetrical,0.85
Atom,contains,Proton,0.97
Atom,contains,Neutron,0.9
Atom,contains,Electron,0.97
Water Molecule,contains,Hydrogen,1.0
Water Molecule,contains,Oxygen,1.0
Cell,contains,Nucleus,0.85
Cell,contains,Mitochondria,0.85
Cell,contains,Cytoplasm,0.85
Cell,contains,Ribosome,0.75
Plant Cell,contains,Chloroplast,0.9
Plant Cell,contains,Cell Wall,0.9
Human Cell,contains,Nucleus,0.85
DNA,contains,Nucleotide,0.9
DNA,contains,Adenine,0.7
DNA,contains,Guanine,0.7
DNA,contains,Cytosine,0.7
DNA,contains,Thymine,0.7
Human Body,contains,Heart,0.95
Human Body,contains,Brain,0.95
Human Body,contains,Lungs,0.95
Human Body,contains,Liver,0.9
Human Body,contains,Kidneys,0.9
Human Body,contains,Stomach,0.9
Human Body,contains,Skin,0.9
Human Body,contains,Skeleton,0.9
Human Body,contains,Blood,0.9
Human Body,contains,Muscles,0.9
Skeleton,contains,Skull,0.9
Skeleton,contains,Rib Cage,0.85
Skeleton,contains,Femur,0.8
Rib Cage,contains,Ribs,0.9
Heart,contains,Ventricle,0.9
Heart,contains,Atrium,0.9
Eye,contains,Retina,0.9
Eye,contains,Cornea,0.85
Eye,contains,Pupil,0.85
Ear,contains,Eardrum,0.85
Ear,contains,Cochlea,0.8
Solar System,contains,Sun,0.9
Solar System,contains,Mercury,0.9
Solar System,contains,Venus,0.9
Solar System,contains,Earth,0.9
Solar System,contains,Mars,0.9
Solar System,contains,Jupiter,0.9
Solar System,contains,Saturn,0.9
Solar System,contains,Uranus,0.9
Solar System,contains,Neptune,0.9
Milky Way,contains,Solar System,0.85
Galaxy,contains,Star,0.8
Universe,contains,Galaxy,0.8
Earth,contains,Atmosphere,0.9
Earth,contains,Crust,0.9
Earth,contains,Mantle,0.9
Earth,contains,Core,0.9
Atmosphere,contains,Nitrogen,0.85
Atmosphere,contains,Oxygen,0.85
Atmosphere,contains,Carbon Dioxide,0.7
Atom Nucleus,contains,Proton,0.95
Molecule,contains,Atom,0.9
Sentence,contains,Word,0.85
Word,contains,Letter,0.85
Book,contains,Chapter,0.85
Chapter,contains,Paragraph,0.75
Orchestra,contains,Violin Section,0.7
Computer,contains,Processor,0.85
Computer,contains,Memory,0.8
Computer,contains,Hard Drive,0.75
Smartphone,contains,Battery,0.8
Smartphone,contains,Camera,0.75
Car,contains,Engine,0.9
Car,contains,Wheels,0.9
Engine,contains,Piston,0.8
Bicycle,contains,Wheels,0.9
Bicycle,contains,Handlebars,0.85
House,contains,Roof,0.85
House,contains,Foundation,0.85
City,contains,Neighborhood,0.75
Country,contains,City,0.8
Continent,contains,Country,0.85
Paris,isIn,France,0.95
Berlin,isIn,Germany,0.95
Rome,isIn,Italy,0.95
Madrid,isIn,Spain,0.95
Lisbon,isIn,Portugal,0.95
Amsterdam,isIn,Netherlands,0.95
Brussels,isIn,Belgium,0.95
Bern,isIn,Switzerland,0.95
Vienna,isIn,Austria,0.95
Warsaw,isIn,Poland,0.95
Prague,isIn,Czech Republic,0.95
Budapest,isIn,Hungary,0.95
Athens,isIn,Greece,0.95
Stockholm,isIn,Sweden,0.95
Oslo,isIn,Norway,0.95
Copenhagen,isIn,Denmark,0.95
Helsinki,isIn,Finland,0.95
Dublin,isIn,Ireland,0.95
London,isIn,United Kingdom,0.95
Moscow,isIn,Russia,0.95
Kyiv,isIn,Ukraine,0.95
Bucharest,isIn,Romania,0.95
Sofia,isIn,Bulgaria,0.95
Zagreb,isIn,Croatia,0.95
Belgrade,isIn,Serbia,0.95
Reykjavik,isIn,Iceland,0.95
Tokyo,isIn,Japan,0.95
Beijing,isIn,China,0.95
Seoul,isIn,South Korea,0.95
Pyongyang,isIn,North Korea,0.95
New Delhi,isIn,India,0.95
Islamabad,isIn,Pakistan,0.95
Dhaka,isIn,Bangladesh,0.95
Kathmandu,isIn,Nepal,0.95
Bangkok,isIn,Thailand,0.95
Hanoi,isIn,Vietnam,0.95
Manila,isIn,Philippines,0.95
Jakarta,isIn,Indonesia,0.95
Kuala Lumpur,isIn,Malaysia,0.95
Singapore City,isIn,Singapore,0.95
Kabul,isIn,Afghanistan,0.95
Tehran,isIn,Iran,0.95
Baghdad,isIn,Iraq,0.95
Riyadh,isIn,Saudi Arabia,0.95
Ankara,isIn,Turkey,0.95
Jerusalem,isIn,Israel,0.95
Cairo,isIn,Egypt,0.95
Tripoli,isIn,Libya,0.95
Tunis,isIn,Tunisia,0.95
Algiers,isIn,Algeria,0.95
Rabat,isIn,Morocco,0.95
Nairobi,isIn,Kenya,0.95
Addis Ababa,isIn,Ethiopia,0.95
Accra,isIn,Ghana,0.95
Abuja,isIn,Nigeria,0.95
Pretoria,isIn,South Africa,0.95
Harare,isIn,Zimbabwe,0.95
Kinshasa,isIn,Democratic Republic of the Congo,0.95
Ottawa,isIn,Canada,0.95
Washington D.C.,isIn,United States,0.95
Mexico City,isIn,Mexico,0.95
Havana,isIn,Cuba,0.95
Panama City,isIn,Panama,0.95
San Jose,isIn,Costa Rica,0.95
Bogota,isIn,Colombia,0.95
Caracas,isIn,Venezuela,0.95
Lima,isIn,Peru,0.95
Santiago,isIn,Chile,0.95
Buenos Aires,isIn,Argentina,0.95
Brasilia,isIn,Brazil,0.95
Montevideo,isIn,Uruguay,0.95
La Paz,isIn,Bolivia,0.95
Quito,isIn,Ecuador,0.95
Canberra,isIn,Australia,0.95
Wellington,isIn,New Zealand,0.95
Suva,isIn,Fiji,0.95
Eiffel Tower,isIn,Paris,0.9
Statue of Liberty,isIn,New York City,0.9
Great Wall of China,isIn,China,0.9
Colosseum,isIn,Rome,0.9
Taj Mahal,isIn,Agra,0.9
Machu Picchu,isIn,Peru,0.9
Great Pyramid of Giza,isIn,Egypt,0.9
Christ the Redeemer,isIn,Rio de Janeiro,0.9
Big Ben,isIn,London,0.9
Sydney Opera House,isIn,Sydney,0.9
Mount Everest,isIn,Nepal,0.9
Mount Kilimanjaro,isIn,Tanzania,0.9
Grand Canyon,isIn,United States,0.9
Amazon Rainforest,isIn,Brazil,0.9
Sahara Desert,isIn,North Africa,0.9
Niagara Falls,isIn,North America,0.9
Victoria Falls,isIn,Zambia,0.9
Stonehenge,isIn,England,0.9
Acropolis,isIn,Athens,0.9
Petra,isIn,Jordan,0.9
Angkor Wat,isIn,Cambodia,0.9
Mount Fuji,isIn,Japan,0.9
Uluru,isIn,Australia,0.9
Golden Gate Bridge,isIn,San Francisco,0.9
Burj Khalifa,isIn,Dubai,0.9
California,isIn,United States,0.97
Texas,isIn,United States,0.97
Florida,isIn,United States,0.97
New York,isIn,United States,0.97
Pennsylvania,isIn,United States,0.97
Illinois,isIn,United States,0.97
Ohio,isIn,United States,0.97
Georgia,isIn,United States,0.97
North Carolina,isIn,United States,0.97
Michigan,isIn,United States,0.97
New Jersey,isIn,United States,0.97
Virginia,isIn,United States,0.97
Washington,isIn,United States,0.97
Arizona,isIn,United States,0.97
Massachusetts,isIn,United States,0.97
Tennessee,isIn,United States,0.97
Indiana,isIn,United States,0.97
Missouri,isIn,United States,0.97
Maryland,isIn,United States,0.97
Wisconsin,isIn,United States,0.97
Colorado,isIn,United States,0.97
Minnesota,isIn,United States,0.97
South Carolina,isIn,United States,0.97
Alabama,isIn,United States,0.97
Louisiana,isIn,United States,0.97
Kentucky,isIn,United States,0.97
Oregon,isIn,United States,0.97
Oklahoma,isIn,United States,0.97
Connecticut,isIn,United States,0.97
Utah,isIn,United States,0.97
Nevada,isIn,United States,0.97
Iowa,isIn,United States,0.97
Arkansas,isIn,United States,0.97
Mississippi,isIn,United States,0.97
Kansas,isIn,United States,0.97
New Mexico,isIn,United States,0.97
Nebraska,isIn,United States,0.97
Idaho,isIn,United States,0.97
Hawaii,isIn,United States,0.97
Maine,isIn,United States,0.97
Alaska,isIn,United States,0.97
Montana,isIn,United States,0.97
Vermont,isIn,United States,0.97
Wyoming,isIn,United States,0.97
Nile River,isIn,Africa,0.9
Amazon River,isIn,South America,0.9
Mississippi River,isIn,United States,0.9
Yangtze River,isIn,China,0.9
Ganges River,isIn,India,0.9
Danube River,isIn,Europe,0.9
Thames River,isIn,England,0.9
Volga River,isIn,Russia,0.9
Rhine River,isIn,Europe,0.9
Congo River,isIn,Africa,0.9
Rain,causedBy,Condensation,0.85
Rainbow,causedBy,Light Refraction,0.9
Thunder,causedBy,Lightning,0.85
Tides,causedBy,Gravitational Pull of the Moon,0.9
Seasons,causedBy,Earth's Axial Tilt,0.9
Day and Night,causedBy,Earth's Rotation,0.95
Earthquakes,causedBy,Tectonic Plate Movement,0.9
Volcanic Eruptions,causedBy,Magma Pressure,0.85
Tsunamis,causedBy,Underwater Earthquakes,0.75
Global Warming,causedBy,Greenhouse Gas Emissions,0.8
Ozone Depletion,causedBy,Chlorofluorocarbons,0.8
Acid Rain,causedBy,Sulfur Dioxide Emissions,0.8
Rust,causedBy,Oxidation of Iron,0.9
Combustion,causedBy,Rapid Oxidation,0.85
Photosynthesis,causedBy,Sunlight Absorption,0.85
Scurvy,causedBy,Vitamin C Deficiency,0.9
Rickets,causedBy,Vitamin D Deficiency,0.85
Night Blindness,causedBy,Vitamin A Deficiency,0.8
Anemia,causedBy,Iron Deficiency,0.75
Goiter,causedBy,Iodine Deficiency,0.8
Malaria,causedBy,Plasmodium Parasite,0.9
Tuberculosis,causedBy,Mycobacterium Bacteria,0.9
Common Cold,causedBy,Rhinovirus,0.8
Influenza,causedBy,Influenza Virus,0.9
COVID-19,causedBy,SARS-CoV-2 Virus,0.9
Chickenpox,causedBy,Varicella-Zoster Virus,0.9
Tooth Decay,causedBy,Bacterial Acid Production,0.8
Sunburn,causedBy,Ultraviolet Radiation,0.85
Frostbite,causedBy,Extreme Cold Exposure,0.85
Hypothermia,causedBy,Prolonged Cold Exposure,0.85
Dehydration,causedBy,Insufficient Water Intake,0.85
Obesity,causedBy,Caloric Surplus,0.6
Type 2 Diabetes,causedBy,Insulin Resistance,0.7
Osteoporosis,causedBy,Calcium Deficiency,0.65
Landslides,causedBy,Heavy Rainfall,0.65
Floods,causedBy,Excessive Rainfall,0.7
Droughts,causedBy,Prolonged Lack of Rainfall,0.75
Wildfires,causedBy,Dry Conditions and Ignition Sources,0.65
Erosion,causedBy,Wind and Water Action,0.75
Sound,causedBy,Vibrating Objects,0.85
Echo,causedBy,Sound Reflection,0.85
Static Electricity,causedBy,Friction Between Materials,0.75
Lightning,causedBy,Electrical Charge Buildup in Clouds,0.85
Fog,causedBy,Condensation Near the Ground,0.8
Hurricanes,causedBy,Warm Ocean Water Evaporation,0.75
Ice Formation,causedBy,Freezing Temperatures,0.9
Evaporation,causedBy,Heat Energy,0.85
Bruising,causedBy,Broken Blood Vessels,0.8
Muscle Soreness,causedBy,Lactic Acid Buildup,0.6
Jet Lag,causedBy,Circadian Rhythm Disruption,0.75
Cavities,causedBy,Bacterial Plaque,0.8
Allergic Reactions,causedBy,Immune System Overreaction,0.75
Asthma Attacks,causedBy,Airway Inflammation,0.75
Food Poisoning,causedBy,Contaminated Food,0.85
Sunset Colors,causedBy,Atmospheric Light Scattering,0.8
Sky,causedBy,Rayleigh Scattering of Sunlight,0.85
Mammal,hasInstance,Dog,0.75
Bird,hasInstance,Eagle,0.75
Fish,hasInstance,Salmon,0.75
Reptile,hasInstance,Snake,0.75
Amphibian,hasInstance,Frog,0.75
Insect,hasInstance,Ant,0.75
Planet,hasInstance,Earth,0.8
Dwarf Planet,hasInstance,Pluto,0.8
Chemical Element,hasInstance,Gold,0.7
Metal,hasInstance,Iron,0.75
Noble Gas,hasInstance,Helium,0.8
Continent,hasInstance,Asia,0.8
Country,hasInstance,France,0.7
Ocean,hasInstance,Pacific Ocean,0.8
Mountain Range,hasInstance,Himalayas,0.8
River,hasInstance,Nile River,0.75
Programming Language,hasInstance,Python,0.7
Musical Instrument,hasInstance,Piano,0.7
Polygon,hasInstance,Triangle,0.8
3D Shape,hasInstance,Sphere,0.75
Season,hasInstance,Winter,0.85
Primary Color,hasInstance,Red,0.85
State of Matter,hasInstance,Liquid,0.85
Force,hasInstance,Gravity,0.75
Renewable Energy Source,hasInstance,Solar Power,0.75
Fossil Fuel,hasInstance,Coal,0.8
Vitamin,hasInstance,Vitamin C,0.75
Blood Type,hasInstance,O Negative,0.75
Cloud Type,hasInstance,Cumulus,0.75
Rock Type,hasInstance,Granite,0.75
Fruit,hasInstance,Apple,0.75
Vegetable,hasInstance,Carrot,0.75
Plant,hasInstance,Rose,0.75
Object,hasInstance,Chair,0.6
Photosynthesis,hasStep,Light Absorption,0.9
Photosynthesis,hasStep,Water Splitting,0.9
Photosynthesis,hasStep,Carbon Fixation,0.9
Photosynthesis,hasStep,Glucose Production,0.9
Water Cycle,hasStep,Evaporation,0.9
Water Cycle,hasStep,Condensation,0.9
Water Cycle,hasStep,Precipitation,0.9
Water Cycle,hasStep,Collection,0.9
Cellular Respiration,hasStep,Glycolysis,0.9
Cellular Respiration,hasStep,Krebs Cycle,0.9
Cellular Respiration,hasStep,Electron Transport Chain,0.9
Cellular Respiration,hasStep,ATP Production,0.9
Digestion,hasStep,Ingestion,0.9
Digestion,hasStep,Mechanical Digestion,0.9
Digestion,hasStep,Chemical Digestion,0.9
Digestion,hasStep,Absorption,0.9
Digestion,hasStep,Egestion,0.9
Mitosis,hasStep,Prophase,0.9
Mitosis,hasStep,Metaphase,0.9
Mitosis,hasStep,Anaphase,0.9
Mitosis,hasStep,Telophase,0.9
Nitrogen Cycle,hasStep,Nitrogen Fixation,0.9
Nitrogen Cycle,hasStep,Nitrification,0.9
Nitrogen Cycle,hasStep,Assimilation,0.9
Nitrogen Cycle,hasStep,Ammonification,0.9
Nitrogen Cycle,hasStep,Denitrification,0.9
Rock Cycle,hasStep,Weathering,0.9
Rock Cycle,hasStep,Erosion,0.9
Rock Cycle,hasStep,Deposition,0.9
Rock Cycle,hasStep,Compaction,0.9
Rock Cycle,hasStep,Metamorphism,0.9
Combustion Engine Cycle,hasStep,Intake,0.9
Combustion Engine Cycle,hasStep,Compression,0.9
Combustion Engine Cycle,hasStep,Combustion,0.9
Combustion Engine Cycle,hasStep,Exhaust,0.9
Scientific Method,hasStep,Observation,0.9
Scientific Method,hasStep,Hypothesis,0.9
Scientific Method,hasStep,Experimentation,0.9
Scientific Method,hasStep,Analysis,0.9
Scientific Method,hasStep,Conclusion,0.9
Metamorphosis (Butterfly),hasStep,Egg,0.9
Metamorphosis (Butterfly),hasStep,Larva,0.9
Metamorphosis (Butterfly),hasStep,Pupa,0.9
Metamorphosis (Butterfly),hasStep,Adult,0.9
Apple,isA,Fruit,0.95
Apple,isA,Food,0.85
Apple,hasQuality,Red,0.75
Apple,hasQuality,Round,0.8
Banana,isA,Fruit,0.95
Banana,isA,Food,0.85
Banana,hasQuality,Yellow,0.75
Banana,hasQuality,Curved,0.8
Orange,isA,Fruit,0.95
Orange,isA,Food,0.85
Orange,hasQuality,Orange,0.75
Orange,hasQuality,Round,0.8
Grape,isA,Fruit,0.95
Grape,isA,Food,0.85
Grape,hasQuality,Purple,0.75
Grape,hasQuality,Round (Small),0.8
Strawberry,isA,Fruit,0.95
Strawberry,isA,Food,0.85
Strawberry,hasQuality,Red,0.75
Strawberry,hasQuality,Heart-Shaped,0.8
Watermelon,isA,Fruit,0.95
Watermelon,isA,Food,0.85
Watermelon,hasQuality,Green,0.75
Watermelon,hasQuality,Oval,0.8
Pineapple,isA,Fruit,0.95
Pineapple,isA,Food,0.85
Pineapple,hasQuality,Brown,0.75
Pineapple,hasQuality,Cylindrical,0.8
Mango,isA,Fruit,0.95
Mango,isA,Food,0.85
Mango,hasQuality,Orange,0.75
Mango,hasQuality,Oval,0.8
Peach,isA,Fruit,0.95
Peach,isA,Food,0.85
Peach,hasQuality,Orange,0.75
Peach,hasQuality,Round,0.8
Pear,isA,Fruit,0.95
Pear,isA,Food,0.85
Pear,hasQuality,Green,0.75
Pear,hasQuality,Pear-Shaped,0.8
Cherry,isA,Fruit,0.95
Cherry,isA,Food,0.85
Cherry,hasQuality,Red,0.75
Cherry,hasQuality,Round (Small),0.8
Blueberry,isA,Fruit,0.95
Blueberry,isA,Food,0.85
Blueberry,hasQuality,Blue,0.75
Blueberry,hasQuality,Round (Small),0.8
Raspberry,isA,Fruit,0.95
Raspberry,isA,Food,0.85
Raspberry,hasQuality,Red,0.75
